store_no,store_nm,addr
23875,연두작업실,대구광역시 중구 동산동
24073,오창드림복권,충청북도 청주시 청원구 오창읍 양청리
24209,금빛세차장,전라북도 장수군 장수읍 두산리
24249,훈희치킨,서울특별시 영등포구 대림동
24536,안동그릇나라,경상북도 안동시 안흥동
24571,돼지막창집,전라북도 진안군 진안읍 군상리
24607,르네상스,서울특별시 강서구 화곡동
24628,아름다운숲국어교습소,서울특별시 양천구 목동
24647,건도산업사,경상북도 포항시 북구 흥해읍 용전리
24709,빨강돼지,경기도 시흥시 정왕동
24737,노가리and비어,경기도 안산시 상록구 월피동
24872,썬자매김밥,경상북도 구미시 봉곡동
24958,손세정헤어,울산광역시 남구 신정동
24969,한이 떡하우스,경기도 평택시 비전동
25096,에르모소,전라남도 담양군 무정면 오룡리
25117,광령 쑥쑥 공부방,제주특별자치도 제주시 애월읍 광령리
25155,장수본가해장국 동백점,경기도 용인시 기흥구 중동
25301,와이지한국체대,전라북도 익산시 남중동
25360,사과와 식탁 학원,경기도 성남시 분당구 정자동
25532,스튜디오A,전라북도 군산시 경암동
25604,커피베이 화정브릿지타워점,경기도 고양시 덕양구 화정동
25643,밀레니엄F&C,경기도 포천시 소흘읍 송우리
25771,월드와이드 프로덕션,경기도 고양시 덕양구 관산동
25843,순수카츠,서울특별시 영등포구 당산동3가
25949,정양품,경상북도 포항시 북구 죽도동
26074,립스(lips),울산광역시 동구 화정동
26587,아산천안디자인,충청남도 아산시 배방읍 북수리
26663,인테리어 FEEL,서울특별시 성북구 장위동
26751,클릭시스템 에어컨,경기도 고양시 일산동구 백석동
26772,반앤반 하동점,경상남도 하동군 금남면 송문리
26811,태양부양꼬치 호수공원점,충청남도 서산시 예천동
26820,옐로우커피22,경기도 성남시 분당구 수내동
26822,어썸라이스(awesomerice),인천광역시 미추홀구 용현동
26860,낭만삼겹살,서울특별시 서초구 양재동
27020,예스마트 궁동점,서울특별시 구로구 궁동
27171,작업복(구제),경상남도 창원시 의창구 소답동
27225,개인과외(정덕권),강원도 강릉시 연곡면 영진리
27245,더카페 세나클,충청남도 당진시 신평면 운정리
27364,모어댄스스튜디오,인천광역시 중구 중산동
27506,덴투스 치과기공소,경기도 하남시 풍산동
27571,아스토리아,서울특별시 광진구 능동
27575,구씨네사진관,제주특별자치도 서귀포시 강정동
27631,바른에이비에이센터,경기도 성남시 분당구 수내동
28008,더 플라워 메리골드,부산광역시 동구 초량동
28152,주식회사 삼마상사,세종특별자치시 반곡동
28255,케이크유(cake.U),경기도 시흥시 대야동
28269,한국교통안전공단 경기남부본부,경기도 수원시 권선구 서둔동
28430,수호,경상남도 진주시 평거동
28627,헤어준가발,부산광역시 동래구 수안동
28676,현대오일뱅크(주)직영 인창주유소,경기도 구리시 인창동
28721,삼호 점프스타 태권도 and 줄넘기 클럽,서울특별시 서초구 방배동
28832,스카이에프엔비(성서점),대구광역시 달서구 신당동
29105,번개설비,전라남도 순천시 행동
29157,씨유(CU)가정베르힐,인천광역시 서구 신현동
29191,미태리 아산모종점,충청남도 아산시 모종동
29466,먹돌이우미포차,경상남도 창원시 진해구 이동
29467,지에스 더 프레시 포항죽도점,경상북도 포항시 북구 죽도동
29602,시니옷장,강원도 삼척시 당저동
29720,수담찬방,인천광역시 남동구 서창동
29759,용인대 MTA 태권도,서울특별시 강북구 미아동
29880,정육의지혜,경기도 포천시 이동면 장암리
30164,상우사,경상북도 안동시 안흥동
30199,국민간식333 장안점,서울특별시 동대문구 장안동
30370,용인오케이치과,경기도 용인시 처인구 김량장동
30570,금발헤어라인,전라북도 전주시 완산구 서서학동
30579,59피자(주덕점),충청북도 충주시 주덕읍 신양리
30608,주식회사 한국안전신호,인천광역시 남동구 구월동
30880,에어컨청소세탁기청소전문시스클린,경기도 의정부시 낙양동
30934,술먹는참치,인천광역시 연수구 연수동
31072,요가투더피플,경기도 수원시 영통구 신동
31134,더워시 부산,부산광역시 금정구 부곡동
31165,광명대창집 왕십리점,서울특별시 성동구 행당동
31308,태현태권도장,경상남도 김해시 구산동
31651,에이케이(SK)텔레콤진주대리점삼천포점,경상남도 사천시 동금동
31707,지혜나라,서울특별시 중랑구 면목동
31719,아이닉스,대전광역시 대덕구 대화동
31824,카카오브이엑스(kakao VX)동탄2,경기도 화성시 장지동
31833,베브릿지 야탑CGV점,경기도 성남시 분당구 야탑동
31964,주식회사 시네마뷰티에듀,인천광역시 부평구 부평동
32144,요거프레소시흥하상점,경기도 시흥시 하상동
32255,별미나라(터미널점),전라남도 목포시 상동
32274,발리볼,전라북도 군산시 나운동
32317,상명전기,대전광역시 중구 유천동
32346,주식회사 정과청,경기도 성남시 분당구 야탑동
32611,알파카,경기도 평택시 신장동
32691,오짜글 고현점,경상남도 거제시 고현동
32739,아이스께끼 망포점,경기도 수원시 영통구 망포동
32853,오은필라테스스튜디오,충청북도 청주시 서원구 사창동
32866,더 메드,경기도 수원시 장안구 파장동
32991,더벤티 울산성안점,울산광역시 중구
33003,젯아이씨(주)웨스트우드 퍼스트빌리지 아산점,충청남도 아산시 둔포면 신항리
33084,지앤비and패럴랙스학원,대구광역시 북구 연경동
33198,더사라구(thesara9),서울특별시 동작구 상도동
33313,본도시락 마곡나루점,서울특별시 강서구 마곡동
33475,연안종합중기,서울특별시 영등포구 영등포동2가
33496,김사부꼬치 꿔바로우,서울특별시 금천구 가산동
33728,동부담배,전라남도 완도군 신지면 월양리
33767,아이스크림트럭 새롬점,세종특별자치시 새롬동
33770,대전동구낭월473,대전광역시 동구 낭월동
33799,미소진,부산광역시 동래구 안락동
33912,태이빈티지,충청북도 청주시 서원구 죽림동
33926,야기꾼,경기도 용인시 기흥구 보정동
33985,숙명피아노,경기도 수원시 장안구 조원동
34042,나나전자,경기도 의정부시 가능동
34186,한결청소클리닝,충청남도 천안시 서북구 성거읍 저리
34334,마니스,경기도 의정부시 민락동
34448,야호스튜디오-코잠,경기도 구리시 토평동
34540,씨유(CU)역삼사랑점,서울특별시 강남구 역삼동
34659,하드투포겟 탐라 이태원점,서울특별시 용산구 이태원동
34733,계룡닭갈비앤닭보쌈,충청남도 천안시 서북구 쌍용동
34753,레더파파,경상남도 창원시 마산회원구 석전동
34797,신흥환경,대전광역시 서구 가장동
34812,자갈치식당완산점,전라북도 전주시 완산구 효자동3가
34910,플러스마트,인천광역시 부평구 부평동
35006,진클린,부산광역시 연제구 거제동
35396,쭈블링건대점,서울특별시 광진구 화양동
35505,코모레이크,경기도 안양시 만안구 안양동
35565,노래가 있는 풍경,부산광역시 사상구 괘법동
35669,두배로 국민분식,경기도 수원시 영통구 영통동
35808,모지니(MOJINI),서울특별시 광진구 화양동
35898,무궁화 황소곱창,경기도 수원시 영통구 하동
35920,바른치킨 부산다대포점,부산광역시 사하구 다대동
36341,반달커피 수원매탄점,경기도 수원시 영통구 매탄동
36366,통발,전라남도 진도군 의신면 구자도리
36425,하이피치 스튜디오,서울특별시 강남구 논현동
36451,공술닭강정,전라북도 전주시 완산구 효자동2가
36512,구앤유영어학원,서울특별시 강동구 성내동
36647,(주)도도인터내셔널,광주광역시 서구 치평동
36787,카페인데이,전라남도 여수시 소호동
37030,바오라움,서울특별시 강남구 신사동
37071,CGV 청주터미널,충청북도 청주시 흥덕구 가경동
37097,모두와함께,충청남도 천안시 서북구 불당동
37119,회현점빵,전라북도 군산시 회현면 대정리
37196,꼬꼬삼촌 닭개장,경상북도 포항시 북구 양덕동
37484,씨유(CU) 현대개나리셀프점,강원도 춘천시 석사동
37523,더샵헤어(The#Hair),경상북도 포항시 북구 양덕동
37568,솔향기,경기도 하남시 망월동
37680,방축파라뷰어린이집,충청남도 아산시 방축동
37691,주식회사로봇앤모어,경기도 안양시 동안구 관양동
37752,아이스크림나라(양곡점),경기도 김포시 양촌읍 양곡리
37775,리버팰리스수상레저,강원도 춘천시 남산면 방하리
37812,선 휘트니스 필라테스,경기도 이천시 갈산동
37814,워시엔조이 동탄방교점,경기도 화성시 방교동
37859,네일.슬,경기도 안산시 단원구 고잔동
38022,커피마인드(COFFEEMIND),서울특별시 서초구 서초동
38058,부담없는미용실,대구광역시 동구 신천동
38062,아는무인찻집,경상남도 양산시 중부동
38081,이집케이크(E_ZIP CAKE),경기도 하남시 신장동
38217,깜장떡볶이,서울특별시 노원구 공릉동
38227,프라고(PRAGO),전라남도 해남군 산이면 금호리
