store_no,store_nm,addr
36395,힐톡스,경상남도 진주시 상대동
36412,남지농협협동조합(남지농협고곡주유소),경상남도 창녕군 남지읍 고곡리
36610,하나에어로빅,인천광역시 계양구 용종동
36830,지에스엠주식회사,경상남도 거제시 동부면 부춘리
36873,주식회사 오성에프앤디,경기도 남양주시 진접읍 진벌리
37040,도서공연_갤럭시아_3,서울특별시 강남구 논현동
37100,형제폰가게,경상남도 진주시 강남동
37119,해법중국어 서현점,충청북도 청주시 흥덕구 가경동
37135,예당사주타로,서울특별시 강남구 논현동
37157,옥란국수,경상남도 진주시 충무공동
37236,백부장story,광주광역시 서구 쌍촌동
37305,세마포차,경기도 오산시 세교동
37352,북신무전점 BHC,경상남도 통영시 무전동
37623,마이랩,인천광역시 계양구 계산동
37691,루리힐,경기도 양주시 옥정동
37810,브레인독서진로코칭센터,경상남도 창원시 마산회원구 양덕동
37899,원조마포숯불갈비,경기도 군포시 산본동
37901,은혜철거자원,강원도 춘천시 동면 장학리
37986,브이뷰티,경기도 남양주시 화도읍 창현리
38102,좋은돼지 식육식당,울산광역시 북구 명촌동
38177,밸런스유어바디,울산광역시 남구 신정동
38351,양평해장국(마장호수점),경기도 양주시 백석읍 기산리
38518,왕촌곰장어아나고,부산광역시 부산진구 당감동
38533,라운드얼스,경기도 안양시 동안구 관양동
38732,에프구팔육(f986),부산광역시 해운대구 우동
38872,족발김사부,서울특별시 관악구 신림동
38953,엉커,경기도 광주시 오포읍 양벌리
38991,하삼동커피(동명점),광주광역시 동구 장동
39117,시크릿쥬쥬또봇키즈카페 고양점,경기도 고양시 덕양구 신원동
39270,볼트떡볶이(신림점),서울특별시 관악구 신림동
39366,해성문구,강원도 동해시 발한동
39453,대원이엔지,부산광역시 부산진구 당감동
39566,장우혁스크린골프아카데미,부산광역시 사상구 모라동
39910,공간샘스터디카페 부천중동점,경기도 부천시 중동
39948,케독영어학원,대구광역시 동구 신서동
39984,주식회사 세하코퍼레이션,제주특별자치도 제주시 연동
40034,매직쇼파,경기도 양주시 백석읍 방성리
40167,트렌디룩(Trendy look),광주광역시 북구 신용동
40212,세븐일레븐 도봉서원점,서울특별시 도봉구 도봉동
40223,픽미픽미 우미린점,경기도 평택시 죽백동
40276,집쿡꼬마김밥,충청남도 공주시 신관동
40383,중앙사과농원,충청남도 천안시 서북구 입장면 흑암리
40391,빙가 검단불로점,인천광역시 서구 불로동
40403,거꾸로가는시간 광명KTX점,경기도 광명시 일직동
40420,현주花,경기도 시흥시 장현동
40584,무인카페 나우커피 신기점,인천광역시 미추홀구 주안동
40655,세븐일레븐 관악보람점,서울특별시 관악구 신림동
40714,에이스 하우징,충청남도 당진시 수청동
40851,루체파스타(Luce pasta),인천광역시 서구 청라동
40866,제이비펌프,대전광역시 대덕구 대화동
40939,주아쏘잉,경기도 양평군 양서면 대심리
40976,이강빈의 불쌈밥,전라남도 해남군 해남읍 수성리
40982,볶도리,서울특별시 광진구 구의동
40992,파리바게뜨성동금호점,서울특별시 성동구 금호동4가
41056,아트앤뮤직,대구광역시 북구 구암동
41160,한국전기온돌판넬산업,전라북도 익산시 신동
41222,신동아문화사,충청남도 천안시 서북구 두정동
41318,프랭크버거 춘천석사점,강원도 춘천시 석사동
41345,헤어르뽀렘 (삼산점),울산광역시 남구 삼산동
41408,에이로마유통,경기도 광명시 광명동
41745,이수진영어교습소,부산광역시 해운대구 좌동
42164,지율녹취속기사무소,서울특별시 서초구 서초동
42266,이치 서울,서울특별시 강남구 신사동
42501,봉스,인천광역시 미추홀구 주안동
42672,커피커퍼강릉점,강원도 강릉시 견소동
42678,노브엘,부산광역시 수영구 민락동
42692,루트(Route)66,경기도 파주시 목동동
42776,나이스가이(걸포북변역점),경기도 김포시
42782,영복이네 횟집,강원도 고성군 죽왕면 가진리
43039,봉양농산물,경상북도 의성군 봉양면 화전리
43040,미니스톱 청담유시어터점,서울특별시 강남구 청담동
43116,자담치킨 천전점,경상남도 진주시 주약동
43475,신 구멍가게 24,경기도 화성시 반송동
43567,수학의신화도수학교습소,경기도 남양주시 화도읍 마석우리
43621,오두막&양꼬치,서울특별시 구로구 구로동
43637,사위식당 여의도점,서울특별시 영등포구 여의도동
43669,석모도섬쌀농장,인천광역시 강화군 삼산면 매음리
43740,지에스25 서서울삼성,서울특별시 마포구 아현동
