STORE_NM,ADDR,UPJONG_DESC
SK에너지(주) 스카이파크주유소,"인천 중구  영종대로  312-0, (운남동)",SEARCH_ADD

장림골목시장 공영주차장,"부산 사하구  장림번영로  9-0, (장림동)",JHY_EDIT

코러스비즈니스컨설팅 주식회사,"서울 중구  삼일대로  343-0, 7층 (저동1가)",JHY_EDIT

비어비어짠비어,"서울 양천구  가로공원로  99-0, 1층 (신월동)",SEARCH_ADD

벧엘민박,"충남 서천군 서면 춘장대길8번길  42-0, (도둔리)",매칭표_매핑

명동카페,"전남 장흥군 관산읍 관산로  92-12, 1층 (죽교리)",SEARCH_ADD

웰컴페이먼츠_상품권_3,"서울 구로구  디지털로32길  30-0, 1307호 (구로동,코오롱디지털타워빌란트)",JHY_EDIT

강서아이폰수리폰사요몰,"서울 강서구  화곡로  178-0, 지하1층 (화곡동)",매칭표_매핑

파리바게뜨,"전북 익산시  익산대로  460-0, 1층 (신동,원광대학병원교수연구동 )",FRAN

그린자원,"경기 파주시 조리읍 문원길  295-13, 가동 (대원리,(주)바이오솔)",

소양닭갈비(출장뷔페),"강원 춘천시  안마산로  30-0, 1층 2층 (온의동)",SEARCH

아마스빈 버블티 화곡역점,"서울 강서구  화곡로  154-0, 1층 (화곡동,청산빌딩)",SEARCH_ADD

대한불교조계종 효심사,"부산 동래구  충렬대로237번가길  31-0, 6층 (수안동)",SEARCH_ADD

홍선생미술-강동지사,"서울 강동구  구천면로  475-0, 상가 101호 (명일동,고덕삼환)",

목수식당,"부산 강서구  신호산단4로64번길  10-0, 102호,103호 (신호동)",한식_SUB

개인택시 부산36바9693,"부산 기장군 정관읍 정관2로  24-0, 201동 1204호 (모전리,정관신도시휴먼시아2단지)",매칭표_매핑

지엠하우징,"서울 강서구  화곡로  334-0, (화곡동)",

땡스 어 라이크 애견카페,"서울 마포구  와우산로21길  21-0, 4층 (서교동)",SEARCH_ADD

소분행,"울산 동구  등대6길  5-0, (방어동)",매칭표_매핑

사단법인 전국친환경농업인연합회,"세종   한누리대로  589-0, 7동 504호 (도담동,해필라움)",JHY_EDIT

위넌스터디카페 화정점,"경기 고양시 덕양구  화신로260번길  66-0, 302, 303호 (화정동,한빛하이죤)",JHY_EDIT

신성식당,"경기 화성시 남양읍 주석로  306-26, 1동 1층 (북양리)",한식_SUB

태수수산,"경남 창원시 마산합포구 구산면 해양관광로  798-0, (석곡리)",JHY_EDIT

수유리찌개백반,"서울 성북구  보문로36길  12-0, 1층 (삼선동4가)",한식_SUB

모다라동서대아트숍,"부산 사상구  주례로  47-0, 366호 (주례동,동서대학교 SP)",매칭표_매핑

(주)아너스테크,"경기 수원시 권선구  구운로63번길  22-15, 203호 (구운동)",

ok클리닝경기북부지사,"경기 의정부시  능곡로  70-0, 102동 801호 (신곡동,으뜸마을신명아파트)",

에그드랍 신제주연동점,"제주 제주시  신대로14길  52-0, 1층 (연동)",매칭표_매핑

장군물류센타,"경기 부천시  봉오대로527번길  23-0, 주변일대 (고강동)",

신한드론로봇교육원,"경기 의정부시  비우로  98-0, 지층 (녹양동)",JHY_EDIT

꼬로록닭갈비N막창,"경기 성남시 분당구  판교로  436-0, 지하1층 3호,4호 (이매동)",SEARCH

이천시립도서관구내식당,"경기 이천시  설봉로81번길  50-0, 지하1층 (창전동)",한식_SUB

룸푸드,"충남 아산시 둔포면 아산밸리중앙로  79-12, 2층 (석곡리)",매칭표_매핑

리얼스칼프,"대구 북구  내곡로  69-0, 상가동 1층 101호 (사수동,대구금호엘에이치천년나무5단지)",매칭표_매핑

(주)조은카페,"인천 중구  공항로  272-0, 제1여객터미널 LS 1층 FB-P3-03 (운서동)",SEARCH_ADD

핑키쌤의 맛있는 놀이터,"서울 노원구  광운로3길  20-3, 1층 101호 (월계동)",

(주) 태웅이앤씨,"부산 금정구  중앙대로  1617-9, 3층 (부곡동)",매칭표_매핑

파리바게뜨,"경남 사천시  벌리로  3-0, (벌리동)",FRAN

두꺼비회수산(황상점),"경북 구미시  수출대로31길  72-1, 1층 (인의동)",JHY_EDIT

위브서점(부천어린이전문서점),"경기 부천시  신흥로  150-1, 802동 214호 (중동,위브더스테이트)",SEARCH_ADD

로브니,"서울 강남구  선릉로85길  8-0, 1층 101호 (역삼동)",매칭표_매핑

개인택시 36바9357,"부산 연제구  월드컵대로58번길  23-0, (연산동)",매칭표_매핑

그라시움미술,"서울 강동구  고덕로  333-0, 122동 2층 204호 (고덕동,고덕그라시움아파트)",

파리바게뜨,경기 고양시 일산구 일산4동 1146 1층상가101,FRAN

선산의류 2호점,"경북 구미시 선산읍 남문로  43-1, (완전리)",SEARCH

게르마늄쑥뜸기,"부산 북구  낙동대로1766번길  25-0, 2층 (구포동)",매칭표_매핑

(주)스타리조트,"서울 종로구  삼봉로  81-0, 731호 (수송동,두산위브파빌리온)",매칭표_매핑

쉐프의 역전포차,"경기 부천시 소사구  송내대로  39-0, 104호 (송내동)",SEARCH

예주 플라워아트,"경기 광주시 초월읍 경안천로  516-0, (무갑리)",SEARCH_ADD

엔솔트플러스,"대구 중구  명륜로  72-0, 2층 (남산동)",매칭표_매핑

서초분식,"충남 서산시  효행6길  24-0, (동문동)",SEARCH

식당아닌척,"경남 창원시 진해구  석동로39번안길  11-0, 1층 (석동)",한식_SUB

은지네 식당,"인천 강화군 길상면 강화동로  11-0, (온수리)",한식_SUB

주식회사 케이투헬스케어,"충북 청주시 상당구  무심동로  484-1, 204호 (영동,오피스밸리)",SEARCH_ADD

바둑이통상,"경북 경주시  임해로  117-0, 1층 (황오동)",SEARCH

리틀라벨르,"경남 진주시  진양호로225번길  13-0, 101동 6층 606호 (평거동,건영아모리움)",

럭셔리홈케어,"경기 평택시  남산로  65-0, 506호 (신장동,보스톤빌)",JHY_EDIT

박재만,"서울 도봉구  해등로  231-0, 5동 801호 (쌍문동,한양2차아파트)",

신바람문화예술교육원,"대구 동구  화랑로75길  6-0, 101동 611호 (방촌동,방촌청구제네스)",

어썸옐로우,"전북 전주시 완산구  메너머1길  16-0, (중화산동2가)",매칭표_매핑

