STORE_NM,ADDR,UPJONG_DESC
참좋은 농축산물,"충남 논산시 연산면 황룡재로  78-11, 1층 (연산리)",SEARCH_ADD

미쁨,"전북 전주시 완산구  따박골9길  43-0, 1층 (중화산동2가)",매칭표_매핑

주식회사 다사랑,"경북 영덕군 영덕읍 군청길  61-0, (덕곡리)",FRAN

줄라이 플라워 아트,"대구 수성구  들안로28길  11-0, 1층 (황금동)",SEARCH_ADD

달달 (DalDal),"경기 수원시 권선구  경수대로277번길  17-0, 1층 (세류동)",매칭표_매핑

현아머리방,"서울 노원구  동일로182길  37-10, 1층 (공릉동)",SEARCH_ADD

대상라인,"서울 종로구  청계천로  331-0, 라동1층나열17호,18호 (창신동)",JHY_EDIT

아스티 부산 오피스텔 앤 근린생활시설 관리단,"부산 동구  중앙대로214번길  7-8, 1 (초량동)",JHY_EDIT

북촌삼대갈비(하당점),"전남 목포시  비파로  95-0, 1층 (상동)",SEARCH

놀자369퓨전노래주점,"경남 김해시  삼계중앙로  49-0, 401호 (삼계동,청어람빌딩)",SEARCH

파스쿠찌,대구 수성구 두산동 .,FRAN

이디어츠,"서울 구로구  가마산로  232-0, 8층 801호 (구로동,성원상떼뷰)",

언니동생디저트,"경기 부천시  신흥로96번길  47-0, 1층 101호 (심곡동)",SEARCH_ADD

설빙,"인천 중구  하늘달빛로64번길  6-3, 201호 202호 (중산동,스카이메디컬프라자)",FRAN

쌀집아재,"충북 진천군 진천읍 중앙북로  35-0, 1층 (읍내리)",SEARCH_ADD

퍼스트픽쳐스,"전북 군산시  신설3길  4-0, (나운동)",

국어의시작독서논술교습소,"서울 양천구  목동로  212-0, A동 204호 일부 (목동,목동신시가지아파트7단지)",매칭표_매핑

둥이누나,"서울 강남구  자곡로  260-0, 411동 102호 (자곡동,강남한양수자인아파트)",

유유(UU)식당,"경기 하남시  미사강변한강로  270-1, 1층 1-128호 (망월동)",한식_SUB

알파텍,"부산 동래구  석사로  43-0, 1402호 (사직동,유로빌)",매칭표_매핑

파리바게뜨,"전북 익산시  무왕로23길  36-0, (부송동)",FRAN

몽키애드,"대구 달서구  갈밭로  6-0, 502호 (대곡동,대곡메디컬빌딩)",SEARCH

대덕수산,"충남 서천군 서면 서인로  614-0, 충청남도 서천군 서면 도둔리 72-400 (도둔리)",SEARCH

진수네식당,"광주 남구  회재로1231번길  20-2, 1층 (주월동)",한식_SUB

무실한식뷔페,"강원 원주시  만대공원길  18-7, 1층 (무실동)",SEARCH

제주에코워시,"제주 서귀포시  대포중앙로  63-0, 1층 (대포동)",

이디야커피 간석역점,"인천 미추홀구  주안로  219-0, A동 (주안동)",SEARCH

명장숲속교실,"부산 동래구  명장로  65-0, 112동 101호 (명장동,e편한세상동래명장)",

투빈카롱마카롱연구소,"경기 남양주시  천마산로12번길  10-0, 2층 (호평동,연진빌)",SEARCH_ADD

빅뱅영어(본관)학원,"인천 남동구  만수서로  52-0, 202호일부,203호,204호 (만수동,쓰리제이프라자)",SEARCH_ADD

지에스(GS)25 양양북문점 (상품권),"강원 양양군 양양읍 북문길  22-6, (구교리)",JHY_EDIT

세븐일레븐 광양중마대로점,"전남 광양시  중마중앙로  149-0, 1층 101호 (중동)",SEARCH

별수학과외,"경기 광주시  벌원길  64-5, 104동 115호 (탄벌동,동보아파트)",JHY_EDIT

쌍다리돼지불백,"경기 용인시 수지구  신수로  767-0, A동 2층 234호 (동천동,분당수지U-TOWER)",FRAN

프리미엄열공스터디카페(평화점),"전북 전주시 완산구  소대배기로  18-0, 2층 (평화동2가)",JHY_EDIT

깨끗한데이,"인천 서구  마전로5번길  58-0, 401호 (마전동,예은빌)",

메가엠지씨커피이마트킨텍스점,"경기 고양시 일산서구  킨텍스로  171-0, 1층 일부 (대화동)",SEARCH

파리바게뜨,"경기 남양주시 진접읍 장현로  65-0, (장현리)",FRAN

M,"경기 수원시 팔달구  향교로3번길  21-0, 2층,3층 (매산로1가)",매칭표_매핑

강정계대식당,"대구 달서구  호산동로35길  49-0, 1층 (호산동)",한식_SUB

김해전자담배길스,"경남 김해시  분성로  374-0, (동상동)",SEARCH

두근돼지 김치찜,"부산 금정구  부곡로42번길  25-0, 201동 B103호 (부곡동,상가)",SEARCH_ADD

흥해통큰식당,"경북 포항시 북구 흥해읍 동해대로  1586-0, 1층 (마산리)",한식_SUB

앤하우스,"울산 남구  정동로118번길  26-0, 1층 (삼산동)",FRAN

골프존파크 남양스카이,"경기 화성시 남양읍 남양성지로  217-0, 2층 (남양리)",JHY_EDIT

센스콜배달대행,"인천 계양구  아나지로  332-0, 201동 121호 (작전동,계양우림카이저팰리스)",

안심축산물센타은행점,"경기 성남시 중원구  자혜로  79-0, 1층 (은행동)",SEARCH

윤혜림,"경남 양산시 물금읍 신주로  64-0, 101동 402호 (범어리,양산신도시현진에버빌)",

아메리칸불고기,"전북 군산시 옥서면 신장원길  15-0, 1층103호,104호 (선연리)",SEARCH

요리야 반딧불식당,"서울 마포구  와우산로  83-0, 3층 (서교동)",한식_SUB

서울각식당,"경남 진주시  에나로128번길  17-0, 106, 107, 108, 109호 (충무공동)",한식_SUB

디오샵 (D.Oshop),"경북 영주시  대학로  77-0, 8호 (휴천동,LAB)",매칭표_매핑

(주)대보주택,"서울 송파구  오금로  111-0, 1층 (방이동,세기빌딩)",

뽕림이네,"경기 화성시  화산서길18번길  25-1, 1층 (안녕동)",매칭표_매핑

몬스터잼,"서울 마포구  와우산로27길  35-0, 3층 (서교동)",매칭표_매핑

심이노래단란,"전남 여수시  봉산1로  42-1, (봉산동)",매칭표_매핑

심(SIM)심리상담센터,"서울 강남구  논현로159길  27-0, 5층 (신사동,다우빌딩)",JHY_EDIT

갗누리공방카페,"충남 당진시 신평면 맷돌포길  68-0, 1층 (부수리)",SEARCH_ADD

루미에르헤어살롱,"경남 창원시 성산구  원이대로393번길  25-0, 1층 1011호 (반지동,케이프타운)",SEARCH

더인퓨전식당,"경북 구미시  산호대로30길  8-6, (옥계동)",한식_SUB

(주)에이아이헬스케어,"서울 용산구  새창로33길  5-0, 506호 (용문동,용문하이오피스텔)",SEARCH_ADD

로만전주지사,"전북 전주시 덕진구  오공로  43-13, 5층 501호 (중동)",매칭표_매핑

환식당,"서울 종로구  창경궁로29길  28-0, 1층 (명륜2가)",한식_SUB

달빛 흘러간 자리,"서울 용산구  소월로20길  26-16, 내 제1,2층호 (용산동2가)",매칭표_매핑

지에스25 삼산평천로점(상품권),"인천 부평구  평천로506번길  14-0, 1층일부 (삼산동)",JHY_EDIT

주식회사 팀에이기어,"서울 강남구  언주로150길  16-0, 2층,3층 (논현동)",

건생방(건강을먼저생각하는떡방앗간),"경기 하남시  신평로  68-1, 1층 (신장동)",SEARCH

공장식당,"인천 남동구  만월북로44번길  8-5, 1층 (간석동)",한식_SUB

우일상사,"인천 강화군 강화읍 강화대로  365-5, 1층 (남산리)",JHY_EDIT

로아사진관,"서울 마포구  어울마당로5길  31-0, 1층 (서교동)",SEARCH

청아크린,"경기 안산시 단원구  신길로  50-0, 707동 505호 (신길동,휴먼시아)",JHY_EDIT

(주)포인컴_시티파크,"경기 성남시 중원구  여수울로15번길  8-3, 1층 (여수동)",JHY_EDIT

쎈수학러닝센터옥현학원,"울산 남구  옥현로46번길  9-7, (무거동)",SEARCH

(주)우아한형제들,"서울 구로구  디지털로26길  72-0, NHN한국사이버결제 (구로동)",매칭표_매핑

맛닭꼬,"서울 광진구  천호대로129길  22-0, (구의동)",FRAN

동달식당 판교점,"경기 성남시 분당구  대왕판교로  660-0, .",한식_SUB

너의사진관or달보드레스냅,"충북 청주시 흥덕구  봉명로  239-0, 3층 301호 (봉명동,호복빌딩)",SEARCH

에어시스템테크,"전북 전주시 완산구  구룡1길  33-14, 101호 (효자동2가,들꽃마을)",JHY_EDIT

브이아이피리모,"서울 성북구  서경로  29-0, 1층 (정릉동)",

세화컴퍼니,"충북 청주시 서원구  월평로  25-0, 105동 1701호 (분평동,청주분평1단지뜨란채아파트)",

백제종합수산,"전남 영암군 삼호읍 관광레저로  2874-89, 백제종합수산 (난전리)",JHY_EDIT

계룡산업(주)평택고덕식당,"경기 평택시 고덕면 고덕로  283-0, 경기도 평택시 고덕면 좌교리 250 식당1동 평택고덕A45BL 아파트공사현장 (좌교리)",한식_SUB

마포연탄돼지갈비,"강원 원주시  천사로  16-0, 1동 1층 (단계동)",SEARCH

용인김량장점멘토즈독서실,"경기 용인시 처인구  금령로  23-0, 4층 (김량장동)",SEARCH

대박함바식당,"강원 춘천시 동내면 영서로  1860-8, 1층 (학곡리)",한식_SUB

서울마님죽 남부시장점,"서울 강서구  등촌로5길  60-0, 1층 (화곡동)",매칭표_매핑

바른한수학교습소,"서울 도봉구  노해로69길  26-0, 5층 501호 (창동,창동씨티월드)",SEARCH

막창도둑 동촌점,"대구 동구  효동로6길  21-0, 1층 (효목동)",SEARCH

블랙스톤,"서울 서초구  신반포로 지하 200-0, D-79호 (잠원동,강남터미널지하쇼핑몰)",FRAN

작은언니네식당,"인천 강화군 내가면 중앙로  1310-0, 1층 (외포리)",한식_SUB

거차도 수산,"전남 목포시  산정로128번길  41-0, 거차도 수산 (용당동)",JHY_EDIT

모퉁이식당상주점,"경북 상주시  삼백로  109-0, (서문동)",한식_SUB

이정식당회센타,"경남 통영시 사량면 상도일주로  1572-0, (금평리)",SEARCH

지에스(GS)25 광주노대점 (상품권),"광주 남구  노대실로  33-0, 광주진월 B-1블럭 단지내 상가 101호 (노대동)",JHY_EDIT

용 냉열시스템,"강원 춘천시 동면 후석로326번길  96-0, 103동 201호 (만천리,춘천만천엘에이치아파트)",

에이원 구내식당,"경기 화성시 향남읍 발안공단로3길  34-0, 1층 (구문천리)",한식_SUB

육갑식당 본점,"서울 서초구  신반포로23길  41-0, 108호 족삼리 (잠원동,신반포2지구아파트)",한식_SUB

디자인움,"인천 동구  방축로83번길  23-0, 24동 2층 222호 (송림동,인천산업용품유통단지)",

경성대학교 누리생활관 식당,"부산 남구  수영로  309-0, 누리생활관 (대연동)",한식_SUB

콩고물 꽈배기 인덕원점,"경기 안양시 동안구  안양판교로  12-0, 1층 (관양동)",SEARCH_ADD

우리동네점빵,"경남 창원시 진해구  속천로  37-0, 가동 1층 (속천동,등대수산)",SEARCH_ADD

명문국밥,"경북 칠곡군 약목면 관호8길  16-0, 1층 (관호리)",SEARCH
CAFE JUN,"충북 진천군 광혜원면 화랑6길  8-9, 104호 (광혜원리,주식회사대한)",매칭표_매핑
나주개미식당,"서울 강남구  선릉로94길  14-0, 1층 (삼성동)",한식_SUB
