store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
872572,스물다섯,전라남도 광양시 중동,"미용>속눈썹증모,연장",,경기도 시흥시 정왕동 2524 아브뉴프랑 블루동 3층 312호,경기도 시흥시 서울대학로264번길 25 아브뉴프랑 블루동 3층 312호,287471,530361,,https://www.instagram.com/zena_lash_brow/
872889,주식회사 엠에이치테크놀로지스,서울특별시 영등포구 양평동2가,,,,,,,,
872941,기본스터디카페마곡점,서울특별시 강서구,"미용>네일아트,네일샵",,서울특별시 강동구 상일동 283-3,서울특별시 강동구 상일로3길 26 1층,326999,549931,,http://www.instagram.com/brillbeautylab
873080,온누리축산 주식회사,경상북도 영천시,,,,,,,,
873084,일광,인천광역시 중구 신흥동3가,,,,,,,,
873242,주식회사 메디스써프라이,부산광역시 금정구 남산동,,,,,,,,
873264,휘니치로,경기도 안산시 단원구 고잔동,,,,,,,,
873469,가야공원골프클럽,부산광역시 부산진구 가야동,,,,,,,,
873594,역전할머니맥주 신구대점,경기도 성남시 중원구 금광동,,,,,,,,
873595,세븐일레븐 아산탕정로드점,충청남도 아산시 탕정면 용두리,"임대,대여>촬영장비",,서울특별시 강남구 논현동 20-18 드림하우스 1층,서울특별시 강남구 강남대로136길 15 드림하우스 1층,313733,546115,,http://www.cnrent.co.kr
873659,기둥클린,경기도 안산시 단원구 원곡동,,,,,,,,
873856,원안전상사,전라북도 정읍시 연지동,"쇼핑,유통>패션",,서울특별시 동대문구 휘경동 124-8,서울특별시 동대문구 휘경로 67 지하1층,317829,555072,,
873938,디펍(D.pub),서울특별시 영등포구 문래동2가,,,,,,,,
873966,퀸즈코퍼레이션 주식회사,경기도 부천시 중동,,,,,,,,
874365,호랑이호프,충청남도 당진시 송악읍 반촌리,"자동차정비,수리>타이어,휠",,서울특별시 마포구 대흥동 337-12,서울특별시 마포구 큰우물로 4,306528,549746,,
874380,비노아즈,경기도 고양시 일산동구 백석동,,,,,,,,
874469,(주)경남형사회적경제종합상사,경상남도 창원시 의창구 사림동,,,,,,,,
874484,이마트24 남원하정점,전라북도 남원시 동충동,음식점>한식,,경기도 시흥시 은행동 645-2 2층 206호 양지순천집 은계점,경기도 시흥시 은계번영길 40 샤르망프라자 2층 양지순천집 은계점,294243,537845,,
874553,송효창(JNGK),서울특별시 서초구 반포동,,,,,,,,
874688,와플칸순천점,전라남도 순천시 조례동,,,,,,,,
874948,피톤골프(양주토리점),경기도 양주시 덕계동,"음식점>카페,디저트",,경상북도 구미시 진평동 1042-3,경상북도 구미시 인동남길 58-2,438354,389029,,
875009,하나렌탈,전라남도 순천시 가곡동,한식>오리요리,,충청북도 청주시 청원구 오창읍 양청리 796-5,충청북도 청주시 청원구 오창읍 중심상업2로 47-25,349341,457370,,
875012,겨자나무,서울특별시 중구 중림동,술집>요리주점,,광주광역시 광산구 수완동 1308 1층,광주광역시 광산구 수완로74번길 29-5 1층,293690,288754,,
875110,예향정 (하당점),전라남도 목포시 상동,"한식>육류,고기요리",,충청북도 청주시 서원구 산남동 630,충청북도 청주시 서원구 두꺼비로94번길 72-2,352626,445884,,https://haegabulgogi.modoo.at
875587,팔공티 신촌점,서울특별시 서대문구 창천동,"음식점>치킨,닭강정",,서울특별시 마포구 서교동 457-25 지1층 2호(서교동),서울특별시 마포구 잔다리로 118,304245,551139,,
