store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
8731,서울S치과교정과치과의원,경기도 성남시 수정구 창곡동,"서비스,산업>기업",,서울특별시 영등포구 문래동3가 46,"서울특별시 영등포구 문래북로 116 , 제14층 제1405호,1406호",302787,546944,,,X
8773,블루빈스커피청평점,경기도 가평군 청평면 청평리,,,,,,,,,X
8794,써니환경,인천광역시 남동구 구월동,음식점>피자,,인천광역시 연수구 송도동 316,인천광역시 연수구 센트럴로 415 S동 145호,278647,535203,,http://www.pizzathink.com/,X
9005,나만보쌈,경상남도 창원시 의창구 북면 감계리,,,,,,,,,X
9161,주식회사 오토퓨어-1,경기도 용인시,,,,,,,,,X
9229,오쩜이엔푸드,충청남도 천안시 서북구 성환읍 성환리,,,,,,,,,X
9428,축산명가 광안리점,부산광역시 수영구 광안동,,,,,,,,,X
9472,리바트 동탄점,경기도 화성시 방교동,,,,,,,,,X
9629,까멜리아(우베베),전라북도 고창군 고창읍 성두리,"쇼핑,유통>채소",,충청북도 진천군 덕산읍 두촌리 2705,충청북도 진천군 덕산읍 시가로 6,358593,477944,,,X
10124,김용재수학학원,경상북도 구미시 봉곡동,,,,,,,,,X
10632,원푸드부평,인천광역시 부평구 삼산동,"생활,편의>미용",,제주특별자치도 제주시 아라일동 6124-5,제주특별자치도 제주시 인다1길 58-8 1층 아틀리에바이지연,265561,98405,,http://instagram.com/artist.jy,X
10689,파이스턴코퍼레이션,서울특별시 강동구 암사동,"음식점>치킨,닭강정",,서울특별시 은평구 응암동 590-6,서울특별시 은평구 응암로13길 2,304526,554741,,http://www.donchicken.co.kr/,X
10813,봉배드민턴전용구장,경상북도 칠곡군 동명면 금암리,,,,,,,,,X
10829,달빛오징어광어,서울특별시 강남구 일원동,,,,,,,,,X
10866,호텔 고시원 면목점,서울특별시 중랑구 면목동,,,,,,,,,X
10979,디자인스튜디오 키(Design Studio KEY),서울특별시 마포구 용강동,,,,,,,,,X
11032,네이처산림지원센타,전라북도 김제시 요촌동,"음식점>치킨,닭강정",,경상북도 포항시 남구 이동 664-15 106호 치킨매니아,경상북도 포항시 남구 포스코대로 145 106호 치킨매니아,521133,381478,,http://www.cknia.com/,X
11066,신화컴퍼니,울산광역시 북구 화봉동,,,,,,,,,X
11114,대농개발,대구광역시 남구 이천동,,,,,,,,,X
11209,신용주방,부산광역시 해운대구 송정동,패션>스포츠의류,,경상북도 구미시 황상동 325-3,경상북도 구미시 삼일로 46,437818,389957,,,X
11428,드림홈마트 신천점,경기도 시흥시 신천동,세탁>셀프빨래방,,세종특별자치시 아름동 1289,세종특별자치시 보듬3로 104-15,332948,434875,,,X
11605,풍어가,광주광역시 광산구 쌍암동,,,,,,,,,X
