store_no,store_nm,store_branch_name,hous_id_mango,addr,title,category,telephone,address,roadAddress,mapx,mapy,description,link
rPbLo74Ncv,바다풍경,,1168010100007230000,서울시 강남구 역삼동 723-1,,,,,,,,,
uJsnzDLaG-W5,남원추어탕,,1168010100007380000,서울시 강남구 역삼동 738-18,,,,,,,,,
yCPNhSrL5hXj,지리산흑돼지,,1168010100007220000,서울시 강남구 역삼동 722,,,,,,,,,
0OfgLi85oagH,힘센낙지,,1168010100007000000,서울시 강남구 역삼동 700-34,,,,,,,,,
B1w781y3Hftq,구구당,,1168010100006170000,서울시 강남구 역삼동 617-6,,,,,,,,,
qtIUvm0nIAsS,Glo Pub,,1168010100008220000,서울시 강남구 역삼동 822-2,,,,,,,,,
rBqsQ8YRq6sZ,영동떡볶이,,1168010100007580000,서울시 강남구 역삼동 758-11,,,,,,,,,
J1YyXrOSjbhc,멜팅그릴,강남역지하상가점,1168010100008580000,서울시 강남구 역삼동 858,,,,,,,,,
REVzS9p_Km,전술밥,,1168010100008360000,서울시 강남구 역삼동 836,,,,,,,,,
ZXbGxMnMJgDv,아스테르커피,,1168010100006900000,서울시 강남구 역삼동 690-3,,,,,,,,,
_bJ9fFz4Tf,스타닭갈비,,1168010100008180000,서울시 강남구 역삼동 818-1,,,,,,,,,
gxx7aBTE2G,레뱅와인샵,역삼점,1168010100007370000,서울시 강남구 역삼동 737,,,,,,,,,
jEqJYlWjkjpj,PIZZA PIZZA,,1168010100006580000,서울시 강남구 역삼동 658-21,,,,,,,,,
qFkAyif38K,토담골,,1168010100008240000,서울시 강남구 역삼동 824,,,,,,,,,
qkwPdYZJWnt4,Tammy House,역삼역점,1168010100007450000,서울시 강남구 역삼동 745-3,,,,,,,,,
AmULXwXqdduj,마이디주스,,1168010100008170000,서울시 강남구 역삼동 817-27,,,,,,,,,
CXx7c0-ibh_s,마코커피,,1168010100006160000,서울시 강남구 역삼동 616-10,,,,,,,,,
EX5Ixq6lkmHI,조선국수보쌈,,1168010100008250000,서울시 강남구 역삼동 825-19,,,,,,,,,
RJg-JegQhxAo,커피상호작용,,1168010100006070000,서울시 강남구 역삼동 607-12,,,,,,,,,
_KkRi4fhl1,그랑아 2,노보텔앰배서더강남,1168010100006030000,서울시 강남구 역삼동 603,,,,,,,,,
b7SOTA-Q0f,스피크이지마노,,1168010100006900000,서울시 강남구 역삼동 690-10,,,,,,,,,
jV3JibJsPY,토종조선맛집,,1168010100008270000,서울시 강남구 역삼동 827,,,,,,,,,
2Rol9GzJ5RCx,인도야시장,,1168010100008170000,서울시 강남구 역삼동 817-17,,,,,,,,,
MAStxrR6FH7o,쏘도베 레스토랑,,1168010100006420000,서울시 강남구 역삼동 642,,,,,,,,,
QtiISbxIIL,듀티프리,,1168010100006050000,서울시 강남구 역삼동 605,,,,,,,,,
V0Cxi8e0E7jU,진가와,한국본점,1168010100006700000,서울시 강남구 역삼동 670-20,,,,,,,,,
d-nfJpmjvzBh,85lab,,1168010100008130000,서울시 강남구 역삼동 813-9,,,,,,,,,
iveu4RPkzKhE,오시오포차,,1168010100007790000,서울시 강남구 역삼동 779-9,,,,,,,,,
yZrBZHA4qDiN,핵볶이,,1168010100008270000,서울시 강남구 역삼동 827-46,,,,,,,,,
Pr1JBuPiN0c8,29펍,4호점,1168010100008100000,서울시 강남구 역삼동 810-18,,,,,,,,,
bv7B13kor0LG,마포껍데기집,,1168010100008310000,서울시 강남구 역삼동 831-33,,,,,,,,,
eRpxcywRKkHn,최인아책방,,1168010100006960000,서울시 강남구 역삼동 696-37,,,,,,,,,
8qBrlA1Irzc2,맛있는제주,,1168010100006990000,서울시 강남구 역삼동 699-2,,,,,,,,,
A1JyCIT1enRD,24601 커피 스테이션,,1168010100007070000,서울시 강남구 역삼동 707-30,,,,,,,,,
aYls1WhuIo,만끽치킨,,1168010100008170000,서울시 강남구 역삼동 817-2,,,,,,,,,
pt2GYIsH1lOz,물고기집,,1168010100006770000,서울시 강남구 역삼동 677-1,,,,,,,,,
UTBAU0eTkBI8,일상비일상의틈,,1168010100008150000,서울시 강남구 역삼동 815-5,,,,,,,,,
ayn0v4geOQQl,낮과밤,,1168010100007210000,서울시 강남구 역삼동 721-11,,,,,,,,,
h4z4OlEJF0YI,겸스커피,,1168010100007880000,서울시 강남구 역삼동 788-20,,,,,,,,,
vWLgO-E-Gfsx,마키아티,,1168010100008250000,서울시 강남구 역삼동 825-25,,,,,,,,,
5rUdIQwgdnJH,언주왕갈비,,1168010100006140000,서울시 강남구 역삼동 614-20,,,,,,,,,
84NSUgyIQ8zz,타이티카페,,1168010100006490000,서울시 강남구 역삼동 649-14,,,,,,,,,
BzXYvco3Nxe9,반장떡맥,역삼점,1168010100007360000,서울시 강남구 역삼동 736-24,,,,,,,,,
oyf_BEqlAidl,어거스트힐,,1168010100006160000,서울시 강남구 역삼동 616-18,,,,,,,,,
GIw9QOwsHJh-,볏짚기장산곰장어,,1168010100007000000,서울시 강남구 역삼동 700-2,,,,,,,,,
