store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
597594,고래밥 운암점,광주광역시 북구 운암동,음식점>한식,,경기도 수원시 권선구 호매실동 1375-3,경기도 수원시 권선구 서수원로 445,308143,518765,,http://www.365food.com/ndog
597770,남도객주,경기도 수원시 권선구 호매실동,,,,,,,,
597905,매쓰프로 수학교습소,경상남도 양산시 물금읍 물금리,부동산>중개업,,서울특별시 송파구 문정동 651 B동 B319호,서울특별시 송파구 송파대로 167 B동 B319호,322555,542897,,
597997,(주)에이치세븐부동산중개법인,서울특별시 송파구 문정동,,,,,,,,
598160,한국방역계측,경기도 양주시 마전동,,,,,,,,
598168,농업회사법인유한회사신흥,전라남도 나주시 왕곡면 신포리,,,,,,,,
598245,주식회사 더순,서울특별시 광진구 광장동,,,,,,,,
598259,세틀뱅크_의료기관_2,서울특별시 강남구 역삼동,,,,,,,,
598278,현일골드,부산광역시 부산진구 범천동,"육류,고기요리>곱창,막창,양",,경기도 이천시 부발읍 아미리 728-7,경기도 이천시 부발읍 경충대로 2096-23 101호,354999,516912,,http://대한곱창.com
598481,군자대한곱창 이천하이닉스점,경기도 이천시 부발읍 아미리,,,,,,,,
598521,보니스 플라워(bonnys flower),대구광역시 남구 대명동,"음식점>치킨,닭강정",,경상남도 창원시 진해구 이동 65-10,경상남도 창원시 진해구 충장로445번길 28,464056,283724,,
598951,치킨신드롬석동점,경상남도 창원시 진해구 이동,"생활,편의>공방",,충청남도 서산시 석림동 651-7 1층,충청남도 서산시 한마음9로 22 1층,262854,464740,,http://www.instagram.com/woori_gyejeol
598967,우리의계절,충청남도 서산시 석림동,한식>생선회,,강원도 춘천시 후평동 802-5,강원도 춘천시 대양당길 27 순금송어,378504,586100,,http://kkz.kr/main/m/menu2.php?sh_idx=68238
599098,순금송어,강원도 춘천시 후평동,한식>생선회,,"서울특별시 강남구 논현동 98-12 , 1층","서울특별시 강남구 언주로148길 14 , 1층",314991,546932,,
599175,도산시장,서울특별시 강남구 논현동,,,,,,,,
599202,다다코리아 일산서구점,경기도 고양시 일산서구 탄현동,,,,,,,,
599211,샵미호,경상북도 구미시 인의동,,,,,,,,
599257,살롱드제이제이,전라북도 전주시 덕진구 인후동1가,,,,,,,,
599514,씨유(CU)더위크앤리조트 인천점,인천광역시 중구 을왕동,,,,,,,,
599604,럭셔리PC foodandcoffee 산호점,경상남도 창원시 마산합포구 산호동,,,,,,,,
599616,라일필름,경기도 남양주시 수동면 외방리,,,,,,,,
